nama_rumah_sakit,jenis_rumah_sakit,alamat,kelurahan,kecamatan,kabupaten_kota,kode_pos,nomor_telepon,nomor_fax,alamat_email,alamat_website,jumlah_tempat_tidur_kelas_vvip,jumlah_tempat_tidur_kelas_vip,jumlah_tempat_tidur_kelas_eksekutif,jumlah_tempat_tidur_kelas_kelas_1,jumlah_tempat_tidur_kelas_kelas_2,jumlah_tempat_tidur_kelas_kelas_3,jumlah_tempat_tidur_kelas_perinatal,jumlah_tempat_tidur_ruang_icu,jumlah_tempat_tidur_ruang_picu,jumlah_tempat_tidur_ruang_nicu,jumlah_tempat_tidur_ruang_hcu,jumlah_tempat_tidur_ruang_iccu,jumlah_tempat_tidur_ruang_igd,jumlah_tempat_tidur_ruang_isolasi,jumlah_tempat_tidur_ruang_1_day_care,jumlah_tempat_tidur_ruang_operasi,jumlah_tempat_tidur_kamar_bersalin,jumlah_tempat_tidur_kelas_hemodialisa,jumlah_tempat_tidur_ruang_anak,jumlah_tempat_tidur_non_kelas,jumlah_tempat_tidur_lain_lain
Budi Kemuliaan ,Rumah Sakit Umum,Jalan  Budi Kemuliaan  Nomor 25 ,Gambir,Gambir,Jakarta Pusat,10110,(021) 3842828,(021) 3501012,rsbbudi@indo.net.id,www.rsiabudikemiaan.com,3,9,17,16,23,36,31,  ,  ,6,7,  ,15,2,  ,2,20,  ,53,  ,  
Sahid Sahirman,Rumah Sakit Umum,Jl. Jenderal Sudirman Kavling 86,Karet Tengsin,Tanah Abang,Jakarta Pusat,10220,(021) 5704591 / 5703231,(021) 5705505 / 5727213,information@ssmh.co.id,www.ssmh.co.id,3,18,,6,8,  ,1,2,  ,  ,2,1,5,  ,2,3,1,3,  ,  ,  
PGI Cikini,Rumah Sakit Umum,Jl. Raden Saleh No. 40 ,Cikini,Menteng,Jakarta Pusat,10330,(021) 38997777,(021) 38997778 / 31924663,mail@rscikini.com,www.rscikini.com,37,26,,54,92,80,2,10,4,  ,4,  ,11,12,4,5,2,24,34,  ,  
Menteng Mitra Afia,Rumah Sakit Umum,Jl. Kali Pasir  No. 9 RT.014 / RW.010,Kebon Sirih,Menteng,Jakarta Pusat,10340,(021) 3154050,(021) 3146309,"rsmmitraafia@gmail.com, rsmentengmitraafia@gmail.com",www.rsmentengmitraafia.com,,6,,8,13,19,2,2,  ,  ,4,  ,5,3,  ,2,2,6,  ,4,  
Abdi Waluyo,Rumah Sakit Umum,Jalan  HOS Cokroaminoto  Nomor 31-33,Gondangdia,Menteng,Jakarta Pusat,10350,(021) 3144989,(021) 31930866,info@abdiwaluyo.com,www.abdiwaluyo.com,,6,,8,13,19,2,2,  ,  ,4,  ,5,3,  ,2,2,6,  ,  ,4
Bunda Jakarta,Rumah Sakit Umum,Jalan  Teuku Cik Ditiro  Nomor 21,Gondangdia,Menteng,Jakarta Pusat,10350,(021) 31923939 / 31923344,(021) 31905546,"bundahospital@bunda.co.id, info.rsubj@bunda.co.id",www.bunda.co.id,8,4,2,4,16,19,10,1,  ,  ,2,  ,8,1,  ,3,1,  ,  ,1,  
YPK Mandiri,Rumah Sakit Umum,Jalan  Gereja Theresia  Nomor 22,Gondangdia,Menteng,Jakarta Pusat,10350,(021) 3909725,(021) 3909806,marketing@rsiaypkmandiri.com,www.rsiaypkmandiri.com,4,13,8,2,4,12,20,  ,  ,  ,2,  ,3,1,  ,3,4,  ,  ,  ,  
Kramat 128,Rumah Sakit Umum,Jalan  Kramat Raya  Nomor 128  RT.001 / RW.08,Kenari,Senen,Jakarta Pusat,10430,(021) 3909513  / 3909514,(021) 3909125,dyah.agustina.w@gmail.com ; info@rskramat128.com,www.rskramat128.com,9,6,,8,30,18,3,3,  ,  ,  ,  ,8,2,  ,3,2,6,6,  ,  
PK. St. Carolus ,Rumah Sakit Umum,Jl. Salemba Raya No. 41,Paseban,Senen,Jakarta Pusat,10440,(021) 3904441,(021) 3103226,humas@rscarolus.or.id,www.rscarolus.or.id,11,43,,31,103,83,3,7,3,2,8,  ,9,5,  ,5,9,22,  ,  ,14
Moh. Husni Thamrin Salemba,Rumah Sakit Umum,Jl. Salemba Tengah 26 - 28,Paseban,Senen,Jakarta Pusat,10440,(021) 3904422 Ext.1900  /1919,(021) 3107816-2305182,info@thamrinhospital.com,www.thamrinhospital.com,3,12,7,43,43,35,3,4,2,1,22,2,6,  ,  ,2,3,7,  ,  ,  
Islam Jakarta Cempaka Putih,Rumah Sakit Umum,Jl. Cempaka Putih Tengah I / 1,Cempaka Putih Timur,Cempaka Putih,Jakarta Pusat,10510,(021) 42801567-4250451,(021) 4206681,rsijpusat@rsi.co.id; rsij@cbn.net.id,www.rsi.co.id,11,16,22,37,90,108,8,7,2,2,5,4,11,9,13,7,4,30,30,  ,  
YARSI,Rumah Sakit Umum,Jalan  Letjen Soeprapto,Cempaka Putih Timur,Cempaka Putih,Jakarta Pusat,10510,,,,,,,,,,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,150
Evasari,Rumah Sakit Umum,Jalan  Rawamangun  Nomor 47,Rawasari,Cempaka Putih,Jakarta Pusat,10570,(021) 4202851-4,(021) 4209725,mkt.jkt@awalbros.com,www.evasari-jakarta.awalbros.com,8,3,8,10,4,13,4,2,3,4,3,  ,6,1,  ,2,2,6,10,  ,  
Hermina Kemayoran,Rumah Sakit Umum,Jalan Selangit Blok B-10 Kav. No.4,Gunung Sahari Selatan,Kemayoran,Jakarta Pusat,10610,(021) 22602525,,"podomoro@rsiahermina.com, mr.kmy16@gmail.com","www.hweminahospitalgroup.com, mr.kmy16@gmail.com",11,20,,12,27,41,8,3,3,5,9,  ,10,3,  ,5,8,10,20,  ,  
Mitra Kemayoran,Rumah Sakit Umum,Jl. Landas Pacu Timur,Kebon Kosong,Kemayoran,Jakarta Pusat,10630,(021) 6545555,(021) 6545959,kemayoran@mitrakeluarga.com,www.mitrakemayoran.com,,4,36,30,26,35,4,7,  ,3,6,  ,  ,4,  ,  ,,5,  ,  ,  
Husada ,Rumah Sakit Umum,Jl. Raya Mangga Besar Raya 137 - 139,Mangga Dua Selatan,Sawah Besar,Jakarta Pusat,10730,(021) 6260208 - 6490090,(021) 6497494,husada@husada.co.id ; sisca.ramdhanie@gmail.com,www.husada.co.id,3,20,64,32,71,90,8,8,3,3,6,9,15,5,4,8,5,15,48,  ,  
Prof  Nizar ,Rumah Sakit Khusus Telinga Hidung Tenggorokan,Jalan  Kesehatan Raya  Nomor 9,Petojo Selatan,Gambir,Jakarta Pusat,10160,(021) 3843598-3503435,(021) 34834982,rsprofnizar@yahoo.co.id,,,,1,1,4,3,  ,  ,  ,  ,1,  ,3,  ,  ,1,  ,  ,  ,  ,1
Bina Estetika,Rumah Sakit Khusus Bedah,Jalan  Teuku Cik Ditiro  Nomor 41,Menteng,Menteng,Jakarta Pusat,10310,(021) 3909393,(021) 3155258,rsbe_binaestetika@yahoo.com,rsbinaestetika.com,,3,,12,,6,  ,  ,  ,  ,2,  ,2,  ,  ,,,  ,,  ,
Jakarta Eye Center Menteng,Rumah Sakit Khusus Mata,Jalan  Teuku Cik Ditiro  Nomor 46,Menteng,Menteng,Jakarta Pusat,10310,(021) 29221000,(021) 3904601,jec@jec.co.id,www.jec.co.id,2,1,,4,6,5,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,  ,,  ,
Proklamasi,Rumah Sakit Khusus Telinga Hidung Tenggorokan,Jalan  Proklamasi  Nomor 43 ,Pegangsaan,Menteng,Jakarta Pusat,10320,(021) 3900002,(021) 3900947,admin@rs-proklamasi.co.id,www.rs-proklamasi.co.id,1,5,,6,6,8,  ,  ,  ,  ,1,  ,1,  ,  ,4,  ,  ,  ,  ,  
Tambak,Rumah Sakit Khusus Ibu dan Anak,Jl. Tambak No. 18,Pegangsaan,Menteng,Jakarta Pusat,10320,(021) 2303444,(021) 3902550,we_care@rsiatambak.com,www.rsiatambak.com,1,3,4,6,4,11,20,  ,2,2,  ,  ,4,1,  ,2,4,  ,9,  ,  
Bunda Jakarta,Rumah Sakit Khusus Ibu dan Anak,Jl. Teuku Cik Ditiro No. 28,Gondangdia,Menteng,Jakarta Pusat,10350,(021) 3909692,(021) 3101077,"bundahospital@bunda.co.id, rsbunda@mweb.co.id, galuh.dian@gmail.com",www.bunda.co.id,4,19,,5,8,4,20,  ,2,17,  ,  ,3,  ,6,4,2,  ,10,  ,  
FKG Universitas Indonesia,Rumah Sakit Khusus Gigi & Mulut,Jl. Salemba Raya No.4,Kenari,Senen,Jakarta Pusat,10430,(021) 213916858,,rsgm_fkgui@yahoo.com,,,,,,,  ,  ,  ,  ,  ,1,  ,1,  ,3,5,  ,  ,  ,  ,  
