Nama_Rumah_Sakit,Long,Lat,Total_Kamar
Budi Kemuliaan ,106.8223,-6.1818,104
Sahid Sahirman,106.84513,-6.21462,35
PGI Cikini,106.8223,-6.1818,289
Menteng Mitra Afia,106.78778,-6.16639,46
Abdi Waluyo,106.8223,-6.1818,46
Bunda Jakarta,106.8223,-6.1818,53
YPK Mandiri,106.8223,-6.1818,43
Kramat 128,106.8418,-6.173,71
PK. St. Carolus ,106.8223,-6.1818,271
Moh. Husni Thamrin Salemba,106.8223,-6.1818,143
Islam Jakarta Cempaka Putih,106.87089312603945,-6.170453195328889,284
YARSI,106.8223,-6.1818,0
Evasari,106.8583515,-6.1936419,46
Hermina Kemayoran,106.84587002603948,-6.154420790554774,111
Mitra Kemayoran,106.8223,-6.1818,131
Husada ,106.8354567,-6.1464887,280
Prof  Nizar ,106.8223,-6.1818,9
Bina Estetika,106.8223,-6.1818,21
Jakarta Eye Center Menteng,106.8362254,-6.1870269,18
Proklamasi,106.8223,-6.1818,26
Tambak,106.8223,-6.1818,29
Bunda Jakarta,106.8223,-6.1818,40
FKG Universitas Indonesia,106.8223,-6.1818,0
Salemba Satu Medika,106.8223,-6.1818,22
Yarsi,106.84513,-6.21462,3
Islam Jakarta Sukapura,106.8823,-6.1339,137
Firdaus,106.93611,-6.09833,96
Mitra Keluarga Kelapa Gading,106.89732645487507,-6.151629454450531,119
Gading Pluit,106.84513,-6.21462,124
Mulyasari,106.91333,-6.115,84
Port Medical Center,106.8823,-6.1339,40
Sukmul Sisma Medika,106.89083,-6.11361,78
Puri Medika,106.89083,-6.11361,61
Hermina Podomoro,106.89083,-6.11361,54
Satya Negara,106.8615866915399,-6.138701019754759,79
Royal Progress,106.86549196836823,-6.139133882146656,142
Atma Jaya,106.8823,-6.1339,118
Pluit,106.8823,-6.1339,132
Duta Indah,106.7873425,-6.1376331,26
Pantai Indah Kapuk,106.75294999720361,-6.111566738452914,140
JEC Primasana,106.890068,-6.1152322,27
Santo Yusuf,106.8823,-6.1339,18
Family,106.79045841069706,-6.133494779780267,49
Grand Family,106.73911355302566,-6.1228514695523115,51
Bhakti Mulia,106.80058039720409,-6.199398205842759,54
Sumber Waras ,106.7673,-6.1676,169
Ibnu Sina,106.7939,-6.1597,9
Royal Taruma,106.8065,-6.1969,146
Patria IKKT,106.79270265487533,-6.196842040346152,62
Bina Sehat Mandiri ,106.72639,-6.18333,23
Cendana / Puri Mandiri Kedoya (nama lama),106.72639,-6.18333,50
Grha Kedoya,106.7673,-6.1676,182
Siloam Kebon Jeruk,106.72639,-6.18333,148
Anggrek Mas,106.72639,-6.18333,26
Medika Permata Hijau,106.72639,-6.18333,67
Pondok Indah - Puri Indah,106.7466101,-6.1864941,104
Cinta Kasih Tzu Chi,106.72167,-6.14972,42
Ciputra Citra Garden City,-73.6343,40.72677,263
Hermina Daan Mogot,106.705,-6.16861,200
Mitra Keluarga Kalideres,106.705,-6.16861,76
Aries,106.80615698291851,-6.1557690643699345,25
FKG Universitas Trisakti,106.7673,-6.1676,2
Jakarta Eye Center Kedoya,106.72639,-6.18333,17
Muhammadiyah Taman Puring,106.8135,-6.266,59
Gandaria,106.8046,-6.2428,40
Kartini,106.7868,-6.2487,41
Yadika Kebayoran Lama,106.7868,-6.2487,31
Petukangan,106.7469662,-6.2362981,22
Pondok Indah - Pondok Indah,106.78158186276215,-6.283373015759504,176
Setia Mitra,106.78393,-6.29755,42
Siloam TB Simatupang,106.8135,-6.266,92
Mayapada,106.78393,-6.29755,95
Prikasih,106.78393,-6.29755,115
Siaga Raya,106.8378,-6.2936,40
Aulia,106.8135,-6.266,55
Ali Sibroh Malisi,106.8214,-6.3341,55
Andhika,106.8214,-6.3341,72
Zahirah,106.8135,-6.266,109
Jakarta Medical Center,106.8135,-6.266,51
Siloam Asri,106.8422342,-6.2535358,47
Tria Dipa,106.8499,-6.2342,58
Tebet,106.8135,-6.266,62
Jakarta,106.8135,-6.266,118
Metropolitan Medical Center,108.48306,-6.97583,126
Medistra,106.8269,-6.2094,157
Agung,106.8135,-6.266,58
Brawijaya,106.8046,-6.2428,43
Asih,106.8046,-6.2428,23
Dharmawangsa ,106.8046,-6.2428,44
Ciranjang,106.8046,-6.2428,20
Panti Nugraha,106.8135,-6.266,63
Avisena,106.8135,-6.266,23
FKG Universitas Prof. DR. Moestopo (B),106.7665339,-6.2580552,3
Nusantara,106.78393,-6.29755,0
Kemang,106.8135,-6.266,42
Sofa Marwa  (Tidak Operasional),106.8214,-6.3341,24
Duren Tiga,106.8273466,-6.2542228,25
AINI Prof. DR. Isak Salim,106.8269,-6.2094,24
MRCCC Siloam Semanggi,106.8135,-6.266,156
Budhi Jaya,106.8135,-6.266,37
Halimun,106.8135,-6.266,13
Columbia Asia Pulomas,106.89109916836833,-6.182168933153823,98
Omni Pulomas,106.884,-6.2521,125
Kartika Pulomas ,106.88028,-6.17972,64
Dharma Nugraha,106.884,-6.2521,84
Mediros,106.884,-6.2521,83
Premier Jatinegara,106.884,-6.2521,202
Hermina Jatinegara,106.884,-6.2521,135
Yadika Pondok Bambu,106.84513,-6.21462,65
dr. Euis,106.84513,-6.21462,41
Sayyidah,106.9249075,-6.2305012,19
Islam Jakarta Pondok Kopi,106.884,-6.2521,167
Restu Kasih,68.26706,24.3539,64
Al-Fauzan,68.26706,24.3539,15
Haji Jakarta,106.8787,-6.2803,99
Harum Sisma Medika,106.884,-6.2521,83
Universitas Kristen Indonesia,106.884,-6.2521,140
Harapan Bunda,106.8778,-6.3274,124
Harapan Jayakarta ,106.9391,-6.1819,59
Rawamangun,106.88028,-6.17972,33
Jantung Jakarta,106.884,-6.2521,45
SMEC,106.884,-6.2521,6
Alvernia Agusta,106.884,-6.2521,17
Bunda Aliyah,106.84513,-6.21462,65
SamMarie Basra,106.84513,-6.21462,15
Islam Klender Jakarta,106.9331011,-6.2213814112737955,50
Asta Nugraha,106.91376119852923,-6.2221374605530295,6
El Shama  (Tidak Operasional),106.78667,-6.23444,27
Bina Waluya,106.884,-6.2521,24
Resti Mulya,106.884,-6.2521,27
Dr. Cipto Mangunkusumo,106.8223,-6.1818,772
Fatmawati ,106.8135,-6.266,556
Persahabatan ,106.884,-6.2521,420
Prof.Sulianti Saroso,106.8823,-6.1339,150
Dharmais,106.79791811497246,-6.186702638195507,388
Harapan Kita,106.79900030365951,-6.184684915752308,222
Dr.Soeharto Heerdjan,106.8065,-6.1969,241
Pusat Otak Nasional,106.884,-6.2521,116
Ketergantungan Obat,106.884,-6.2521,100
DR. Mintohardjo,106.84513,-6.21462,192
Gatot Soebroto,106.8223,-6.1818,499
Bhayangkara Sespimma Polri,106.7763902,-6.2606279,30
Dr. Suyoto  Pusrehab Kemhan,106.8135,-6.266,115
Rumkital Marinir Cilandak,106.8135,-6.266,158
Dik Pusdikkes Kodiklat TNI AD,106.8672839,-6.2736064,46
Bhayangkara Tk.I  R. Said Sukanto,106.884,-6.2521,165
Moh Ridwan Meuraksa,106.8787,-6.2803,131
Pusat Angkatan Udara Dr. Esnawan Antariksa,106.8787,-6.2803,139
Tingkat IV Cijantung Kesdam Jaya,106.884,-6.2521,63
Ladokgi TNI-AL R.E. Martadinata,106.8223,-6.1818,0
TNI - Angkatan Udara,106.8787,-6.2803,23
Pengayoman Cipinang,106.8795,-6.2184,188
Olahraga Nasional,106.888952,-6.3663628,44
Pertamina Jaya,106.87610535487508,-6.173040362910674,53
Pekerja,106.8823,-6.1339,29
Pelabuhan Jakarta,106.8823,-6.1339,130
Pelni,106.7673,-6.1676,460
Pusat Pertamina ,106.8135,-6.266,321
Aneka Tambang Medika (Antam Medika),106.90265928092188,-6.192089187958404,93
Tarakan,106.8223,-6.1818,369
Koja,106.8823,-6.1339,595
Cengkareng,106.72167,-6.14972,205
Pasar Minggu,106.8378,-6.2936,409
Budhi Asih ,68.26706,24.3539,381
Pasar Rebo,106.84513,-6.21462,271
Adhyaksa,106.884,-6.2521,53
Duren Sawit,106.84513,-6.21462,150
Kepulauan Seribu,106.6137136,-5.7457904,10
Tanah Abang,98.9088,3.4819,26
Cempaka Putih,106.8706655,-6.1856221,29
Johar Baru,106.8516678,-6.1812415,30
Kemayoran,106.8648321,-6.1564686,48
Sawah Besar,106.8336,-6.1529,27
Cilincing,106.8823,-6.1339,14
Tugu Koja,106.8823,-6.1339,19
Tanjung Priok,106.8840753,-6.115725,40
Pademangan,106.8366,-6.1369,20
Tamansari,106.8249,-6.1542,24
Kembangan,106.7673,-6.1676,11
Kalideres,106.705,-6.16861,20
Kebayoran Baru,106.8049,-6.2623,36
Kebayoran Lama,106.7868,-6.2487,35
Pesanggrahan,106.8135,-6.266,39
Jatipadang,106.8378,-6.2936,52
Jagakarsa,106.8214,-6.3341,17
Mampang Prapatan,106.84513,-6.21462,29
Tebet,106.8499,-6.2342,9
Matraman,106.8664744,-6.2058275,16
Kramat Jati,106.78667,-6.23444,26
